Code	Type	Pr	Num	Suf	Firm	Rasp	R1	R2	Rez	Mar	St	PS	Prim	DateMake	code_status	Izm	Reason
2249	gtc		526		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Глумицы	-	Гатчина - М.Колпаны - Парицы - Войсковицы - Б.Борницы - Шпаньково - Елизаветино - Смольково - Арбонье - Кикерино - Эдази - Курковицы - Калитино - Ст.Раглицы - Каргалозы - Глумицы		ЛиАЗ-5256	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2250	gtc		527		"ОАО ""АТП-31"""	расп	Гатчина, Варшавский вокзал	Кобралово	-	Гатчина - Вайя - Верево - Романовка - Горки - Лукаши - Пудомяги - Антелево - Коммунар - Кобралово		-		27.06.2016	2	-	-
2253	gtc		530		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Раболово	-	Гатчина - М.Колпаны - Парицы - Войсковицы - Б.Борницы - Шпаньково - Елизаветино - Жилпосёлок - Яскелево - Березнёво - Ознаково - Раболово		ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2254	gtc		531		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Батово	-	Гатчина - М.Колпаны - Б.Колпаны - Ваккалово - Лядино - Н.Черницы - Ст.Черницы - Никольское - Н.Колено - (заезд: Тихковицы) - Ст.Поддубье - Поддубье - Выра - Рождествено - Батово		-	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2255	gtc		532		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Тихковицы	-	Гатчина - М.Колпаны - Б.Колпаны - Ваккалово - Лядино - Н.Черницы - Ст.Черницы - Никольское - Н.Колено - Тихковицы		-	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2256	gtc		533		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Кипень	-	Гатчина - Сокколово - Б.Рейзино - Мыза-Ивановка - Пудость - Юля-Пурская - Алапурская - Мута-Кюля - Петрово - Терволово - Кипень		ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2257	gtc		534		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Вырица, пр.Кирова	-	Гатчина - Пригородный - Пижма - Воскресенское - Суйда - Мельница - Кобрино - Куровицы - Вырица		ПАЗ-3204-02	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	в объезд через Б.Колпаны	на время реконструкции путепровода на Вырицком шоссе
2258	gtc		535		"ХК ""Питеравто"""	инт	Гатчина, Варшавский вокзал	Новый Свет	-	Гатчина - Коргузи - Н.Свет		ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2259	gtc		536		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Жабино	-	Гатчина - М.Колпаны - Парицы - Войсковицы - Реболово - Сяськелево - Вытти - Ондрово - Жабино		ЛиАЗ-5256	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2260	gtc		537		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	ст. Тайцы	-	Гатчина - Сокколово - Б.Рейзино - Мыза-Ивановка - Пудость - Покизен-Пурская - Истинка - Тихвинка - Тайцы		ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2261	gtc		538		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Сусанино	-	Гатчина - Пригородный - Мыза - Ковшово - Виркино - Сусанино		ПАЗ-3204-02	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	в объезд через Б.Колпаны	на время реконструкции путепровода на Вырицком шоссе
2262	gtc		539		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Шпаньково	-	Гатчина - М.Колпаны - Б.Колпаны - Ваккалово - Лядино - Н.Черницы - Ст.Черницы - Никольское - Ротково - Корписалово - Ст.Хинколово - Натальевка - Шпаньково		ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2263	gtc		540		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Новый Учхоз	-	Гатчина - М.Колпаны - Б.Колпаны - Тяглино - Войсковицы - Н.Учхоз		ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2264	gtc		542		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Туганицы	-	Гатчина - М.Колпаны - Парицы - Войсковицы - Реболово - Сяськелево - (обратно: Вохоново - Таровицы - Луйсковицы - Алексеевка - Елизаветино - Шпаньково - Б.Борницы) - Муттолово - Туганицы		-	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2266	gtc	К-	545	а	ООО ЦТП	инт	станция метро Купчино	Коммунар	-	 Витебский проспект - Витебский проспект /пос. Шушары/ - Витебский проспект /г. Пушкин/ - Петербургское шоссе /г. Пушкин/ - улица Генерала Хазова /г. Пушкин/ - Школьная улица /г. Пушкин/ - Ленинградская улица /г. Пушкин/ - Привокзальная площадь /г. Пушкин/ - Ленинградская улица /г. Пушкин/ - Оранжерейная улица /г. Пушкин/ - Садовая улица /г. Пушкин/ - Павловское шоссе /г. Пушкин/ - Главная улица /Павловск-2/ - Парковая улица /Павловск-2/ - (обратно: Парковая улица /Павловск-2/) - Фильтровское шоссе /г. Павловск/ - Садовая улица /г. Павловск/ - Детскосельская улица /г. Павловск/ - Берёзовая улица /г. Павловск/ - улица Мичурина /г. Павловск/ - улица Александра Матросова /Пязелево/ - Павловское шоссе /Динамо/ - Покровская - Коммунар	0	-	-	27.06.2016	2	-	-
2267	gtc	К-	545	б	ООО ЦТП	инт	станция метро Московская	Коммунар	-	Демонстрационный проезд - Московская площадь - Московский проспект - площадь Победы - Пулковское шоссе - Петербургское шоссе /пос. Шушары/ - Петербургское шоссе /г. Пушкин/ - улица Генерала Хазова /г. Пушкин/ - Школьная улица /г. Пушкин/ - Ленинградская улица /г. Пушкин/ - Привокзальная площадь /г. Пушкин/ - Ленинградская улица /г. Пушкин/ - Оранжерейная улица /г. Пушкин/ - Садовая улица /г. Пушкин/ - Павловское шоссе /г. Пушкин/ - Главная улица /Павловск-2/ - Парковая улица /Павловск-2/ - (обратно: Парковая улица /Павловск-2/) - Фильтровское шоссе /г. Павловск/ - Садовая улица /г. Павловск/ - Детскосельская улица /г. Павловск/ - Берёзовая улица /г. Павловск/ - улица Мичурина /г. Павловск/ - улица Александра Матросова /Пязелево/ - Антропшино - Коммунар	0	-	-	27.06.2016	2	-	-
2268	gtc		10	а	"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Пригородный	-	ул.Ополченцев-Балтийцев - Вырицкое шоссе		-	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	временный маршрут	на время реконструкции путепровода на Вырицком шоссе
